sku;data_rodagem;intercepto_tscv;coef_log_preco_tscv;coef_quarta-feira_tscv;coef_terça-feira_tscv;coef_log_preco_sarimax;AIC_sarimax;BIC_sarimax;AIC_cruzado;BIC_cruzado
107645;29/09/2025 16:32;19,69606357;-3,322953007;0,112317506;0,237255351;-6,530747073;1093,407046;1114,487618;615,4312829;626,2335525
85414;29/09/2025 16:32;29,95647986;-5,717842161;-0,21053348;-0,438590098;-3,26542819;1090,126858;1112,10462;753,3032374;764,8517478
46851;29/09/2025 16:32;26,15381484;-4,851461869;0,394066009;0,320950724;-0,424165941;3600,396673;3630,304971;2250,845463;2267,360438
67020;29/09/2025 16:32;-16,85522476;3,784948559;0,064603194;0,014889204;0,053016784;4817,49761;4847,405908;2588,107182;2604,622156
103975;29/09/2025 16:32;5,234158432;-1,442069951;-0,138920431;0,115710884;-0,34316882;1312,682517;1334,984684;751,7438267;763,33415
2960;29/09/2025 16:32;8,414075589;-2,009289898;-0,039196879;0,065305359;0,322988647;4006,143607;4036,051905;2566,800964;2583,315938
67019;29/09/2025 16:32;-14,14445246;2,741118614;-0,006937731;0,091424976;3,736027347;4698,327121;4728,229861;2618,594743;2635,098331
52246;29/09/2025 16:32;23,64222962;-4,870272065;0,099958894;0,179923497;-2,133270866;2686,077694;2715,985992;1960,688145;1977,203119
52251;29/09/2025 16:32;29,12088098;-6,347945957;0,404495799;0,275992597;2,684691375;3328,362489;3358,209362;2455,824805;2472,300097
80625;29/09/2025 16:32;31,99605143;-6,718423183;0,198546911;0,362231711;-6,08106947;1461,767149;1489,175616;1418,31071;1433,163722
52245;29/09/2025 16:32;8,699795361;-1,45365632;0,189502419;0,319981717;-1,648854798;2847,962126;2877,870424;2001,565691;2018,080665
59037;29/09/2025 16:33;9,709152308;-2,018642141;-0,116056529;-0,070938415;-2,099594566;3226,029289;3255,937587;2689,563954;2706,078929
86062;29/09/2025 16:33;9,645740624;-2,206161799;0,241131983;-0,094492293;-1,155512588;1108,166792;1129,367129;655,8030572;666,8327018
42038;29/09/2025 16:33;56,58317933;-9,89108682;-0,016173209;-0,241500796;0,800437543;4789,433919;4819,342217;2561,214114;2577,729088
3913;29/09/2025 16:33;41,3493529;-7,340129857;0,141440995;-0,056732324;2,358069309;4483,856475;4513,764773;2569,064907;2585,579881
52125;29/09/2025 16:33;32,18179135;-5,771905532;0,030070652;0,034002593;-2,482459887;3587,581811;3617,490109;2156,706469;2173,221443
82014;29/09/2025 16:33;7,080852937;-1,351061241;-0,226651449;-0,815448056;-3,093275636;2905,585899;2932,410696;1608,587424;1623,064391
51682;29/09/2025 16:33;53,87972877;-8,004805866;0,076277975;0,173682664;-3,556735458;3577,752949;3607,661247;2224,025425;2240,540399
20390;29/09/2025 16:33;27,50307035;-4,420268098;0,315890816;0,167011795;-1,931586925;3120,207532;3150,11583;1928,287358;1944,802332
21103;29/09/2025 16:33;34,21012862;-5,093568729;0,202717728;0,087631992;-2,464217202;3884,401221;3914,309519;2223,299264;2239,814238
28333;29/09/2025 16:33;36,23659073;-5,322786482;0,31961643;0,204139058;-2,455225495;3533,544535;3563,452832;2356,110732;2372,625706
74805;29/09/2025 16:33;12,61191367;-1,997420859;0,097682328;0,16568521;-1,938180265;3518,50278;3547,256847;1998,928776;2014,681544
60266;29/09/2025 16:34;52,74484777;-13,67156978;0,245259459;0,367512424;-10,25612928;3617,344856;3647,186114;2708,790507;2725,254301
29207;29/09/2025 16:34;27,96917262;-5,617959451;0,137168935;0,124999796;-6,611701076;2245,455073;2275,363371;1465,161075;1481,676049
59216;29/09/2025 16:34;16,43975832;-3,014263586;0,172147953;0,163439944;-4,404446112;1295,513489;1325,421787;914,9618913;931,4768654
29213;29/09/2025 16:34;30,04391403;-5,936758102;0,219417616;0,141943991;-6,03451287;2718,08895;2747,997247;2141,896748;2158,411722
15347;29/09/2025 16:34;32,66228052;-6,779691899;0,340715365;0,245345156;-6,630831993;3055,46649;3085,374788;1825,800528;1842,315502
3247;29/09/2025 16:34;43,407659;-6,67436339;0,044662293;0,104857854;1,269356719;4595,484902;4625,3932;2465,819514;2482,334488
74890;29/09/2025 16:34;25,53203773;-5,333673568;-0,068618534;0,033825541;1,742239085;4200,846934;4230,073481;2355,242269;2371,264752
81756;29/09/2025 16:34;10,79989154;-3,038195574;0,083472971;0,03164139;1,102402777;2618,316455;2645,260796;1750,310562;1764,889855
86402;29/09/2025 16:34;-7,43728354;1,507387813;0,472378268;-0,174104324;-3,709862337;1847,848109;1872,423056;1169,828451;1182,993812
86391;29/09/2025 16:35;6,424741177;-1,066036167;0,210973313;0,030954934;-1,544545017;1555,493489;1580,081935;960,7454418;973,7378853
86396;29/09/2025 16:35;8,590993071;-1,66928559;0,381108465;-0,192475335;-8,031467235;1604,801828;1629,443966;1076,438108;1089,539449
13834;29/09/2025 16:35;28,51905943;-6,19974997;0,091163006;0,075354748;-0,254847685;4544,986096;4574,888836;2405,106507;2421,610096
58407;29/09/2025 16:35;-17,62711319;5,253697916;0,10834014;0,32951006;9,404910867;3889,191107;3918,936092;2688,362314;2704,714968
60390;29/09/2025 16:35;31,38352964;-6,404230995;0,300501971;0,156404632;-4,633961294;3722,903375;3752,811673;2259,606354;2276,121328
44990;29/09/2025 16:35;3,910835046;-0,840433774;0,287547986;0,010359;-0,483517321;1308,485647;1337,798705;190,5090905;199,0272018
62956;29/09/2025 16:35;53,56994905;-8,809599627;0,445082406;0,213289652;-8,166906553;4697,979735;4727,888033;2421,82979;2438,344764
37;29/09/2025 16:35;1,375142594;-0,284521123;-0,347476566;-0,245837108;-0,033385873;1447,486867;1477,384044;314,2991178;324,1489427
66021;29/09/2025 16:35;63,62656562;-11,10947436;-0,000476774;0,325794185;-9,29584326;4932,328159;4962,236457;2492,766767;2509,281742
66031;29/09/2025 16:35;58,04991161;-10,20021324;0,198304294;0,491746597;-8,906230174;4824,427142;4854,302014;2474,687466;2491,133254
76552;29/09/2025 16:36;15,97116288;-3,014978175;-0,241285357;0,307873175;-2,490597815;3836,231094;3864,937837;2149,454727;2165,214482
76554;29/09/2025 16:36;31,78888764;-5,852433967;-0,043838004;0,279747582;-6,996510817;3830,865768;3859,57251;2122,402719;2138,162474
618;29/09/2025 16:36;64,78249009;-10,71926224;-0,066445001;0,201284897;-9,921491587;4800,658381;4830,566679;2463,111019;2479,625993
15827;29/09/2025 16:36;54,72902854;-8,774917392;0,112673731;0,134401132;-8,579826333;4482,462696;4512,370994;2446,847365;2463,362339
28229;29/09/2025 16:36;38,92375125;-5,734244022;0,091447594;0,301385337;-3,990240429;4231,848593;4261,756891;2292,725731;2309,240705
28228;29/09/2025 16:36;55,79234487;-8,75162636;0,111141972;0,162585658;-8,144528944;4848,63824;4878,546538;2538,642215;2555,157189
66019;29/09/2025 16:36;63,43703193;-11,22441282;0,26769675;0,44967464;-10,6749446;4968,146359;4998,054657;2462,186959;2478,701933
15825;29/09/2025 16:36;5,705649398;-0,989109004;-0,147054176;-0,068872201;-1,247838695;1840,142139;1870,028173;641,0745428;654,4197313
84925;29/09/2025 16:36;3,118860756;-0,643288293;-0,203696891;-0,145475339;-0,314831577;800,1122853;825,4596359;155,0733136;162,863135
66029;29/09/2025 16:37;61,58181076;-10,88040918;-0,017708003;-0,06774724;-9,986269621;4985,887359;5015,795657;2487,13273;2503,647704
15826;29/09/2025 16:37;41,58737154;-6,331896304;0,536340097;0,412508204;-7,037038219;3920,253242;3950,16154;2323,341412;2339,856386
41138;29/09/2025 16:37;56,38497374;-8,126322178;0,335377296;0,086393656;-6,43702602;4813,748821;4843,657119;2545,502139;2562,017113
5293;29/09/2025 16:37;22,75653815;-3,452563356;-0,071561513;0,025483763;-2,706946564;1898,284393;1927,529584;597,4089013;610,7652319
7450;29/09/2025 16:37;20,83635179;-3,324809117;0,010096719;-0,003264982;-2,262762408;1690,684587;1720,016021;476,4531173;489,6581096
9891;29/09/2025 16:37;16,54158723;-3,532387976;0,27079443;0,234963407;0,171110601;3474,159529;3504,067827;2383,644724;2400,159698
115659;29/09/2025 16:37;12,31200931;-3,549327654;0,288695966;0,299298563;-4,540348889;644,369414;662,4332257;395,3290965;404,3541112
74340;29/09/2025 16:37;5,656474168;-0,915919752;0,155639831;0,094277852;-2,353679384;1621,86874;1651,333245;1140,84563;1157,074182
42367;29/09/2025 16:37;-12,95272301;4,430696357;0,535515653;0,368924302;4,71766181;3227,43439;3257,275648;2502,834903;2519,298697
55454;29/09/2025 16:37;36,54058163;-6,256648169;0,469497875;0,195041095;-5,201049525;2789,079975;2818,988273;2233,558567;2250,073541
80288;29/09/2025 16:38;-32,70241027;5,719273819;0,560801644;0,232167498;12,03469565;2788,056877;2815,25961;1793,915516;1808,611044
118325;29/09/2025 16:38;26,24505403;-4,146505135;-0,208460536;-0,027821979;-6,180188688;580,3557254;598,9913983;384,2659566;393,8005868
66419;29/09/2025 16:38;12,73463032;-2,773220738;0,183603565;0,184715542;-1,305347172;3160,846709;3190,755007;1996,858719;2013,373693
76151;29/09/2025 16:38;2,754963618;-0,564675802;0,113247346;0,07647773;10,36748672;3354,496266;3383,330601;2400,470248;2416,28407
