SKU,Status,VMD_Realizado_60D,VMD_Previsto_Amanha,VMD_Previsto_7D
10530,Modelo não treinado,,,
18615,Modelo não treinado,,,
61580,Modelo não treinado,,,
67857,Modelo não treinado,,,
74001,Modelo não treinado,,,
59526,Modelo não treinado,,,
127410,Modelo não treinado,,,
63257,Modelo não treinado,,,
8247,Sucesso,0.4,0.4166666666666667,0.38333333333333336
17750,Modelo não treinado,,,
8248,Modelo não treinado,,,
179855,Modelo não treinado,,,
179857,Modelo não treinado,,,
179854,Modelo não treinado,,,
179859,Modelo não treinado,,,
179858,Modelo não treinado,,,
181018,Modelo não treinado,,,
179856,Modelo não treinado,,,
179861,Modelo não treinado,,,
179875,Modelo não treinado,,,
179852,Modelo não treinado,,,
179853,Modelo não treinado,,,
179860,Modelo não treinado,,,
179873,Modelo não treinado,,,
179874,Modelo não treinado,,,
82360,Sucesso,0.06666666666666667,0.06666666666666667,0.05
82362,Sucesso,0.11666666666666667,0.11666666666666667,0.1
82361,Sucesso,0.4166666666666667,0.4166666666666667,0.36666666666666664
128187,Modelo não treinado,,,
42877,Sucesso,3.5166666666666666,3.6666666666666665,4.65
48678,Sucesso,0.9833333333333333,0.9833333333333333,0.7666666666666667
51000,Sucesso,0.55,0.5333333333333333,0.26666666666666666
55314,Sucesso,1.0666666666666667,1.0333333333333334,0.8
88948,Sucesso,0.9333333333333333,0.9333333333333333,0.6
55316,Sucesso,1.7833333333333334,1.7833333333333334,1.6166666666666667
68754,Sucesso,0.23333333333333334,0.23333333333333334,0.21666666666666667
88949,Sucesso,0.9,0.9,0.8833333333333333
46142,Sucesso,0.4166666666666667,0.4166666666666667,0.26666666666666666
56726,Sucesso,0.65,0.6666666666666666,0.5666666666666667
88951,Sucesso,0.3,0.3,0.2833333333333333
66004,Sucesso,0.23333333333333334,0.23333333333333334,0.21666666666666667
116925,Sucesso,0.48333333333333334,0.48333333333333334,0.5333333333333333
116934,Modelo não treinado,,,
42878,Sucesso,1.55,1.5833333333333333,2.216666666666667
104568,Modelo não treinado,,,
116933,Modelo não treinado,,,
18905,Sucesso,0.6166666666666667,0.6,0.5333333333333333
50650,Sucesso,0.16666666666666666,0.16666666666666666,0.16666666666666666
88957,Sucesso,0.08333333333333333,0.08333333333333333,0.08333333333333333
88950,Sucesso,0.4166666666666667,0.4666666666666667,0.7333333333333333
174720,Modelo não treinado,,,
174723,Modelo não treinado,,,
116928,Modelo não treinado,,,
116924,Modelo não treinado,,,
116926,Modelo não treinado,,,
116932,Modelo não treinado,,,
116931,Modelo não treinado,,,
116930,Modelo não treinado,,,
174721,Modelo não treinado,,,
174724,Modelo não treinado,,,
174726,Modelo não treinado,,,
174727,Modelo não treinado,,,
116938,Sucesso,0.45,0.45,0.38333333333333336
174714,Modelo não treinado,,,
174715,Modelo não treinado,,,
174719,Modelo não treinado,,,
174729,Modelo não treinado,,,
55315,Sucesso,0.31666666666666665,0.31666666666666665,0.3
